FID,IID,O(HOM),N(NM),het_rate,status
F1,F1,12908,16467,0.21612922815327626,Normal
F2,F2,13866,16880,0.17855450236966824,Normal
F3,F3,13521,16882,0.1990877858073688,Normal
F4,F4,12531,15516,0.19238205723124516,Normal
F5,F5,12805,16970,0.2454331172657631,Normal
F6,F6,12845,16898,0.23985086992543497,Normal
F7,F7,13680,16945,0.1926822071407495,Normal
F8,F8,13111,16904,0.22438476100331284,Normal
F9,F9,13344,16900,0.21041420118343196,Normal
F23,F23,12309,14548,0.1539043167445697,Normal
F22,F22,11554,13771,0.16099048725582746,Normal
F18,F18,13615,16901,0.19442636530382817,Normal
F20,F20,13934,16761,0.16866535409581768,Normal
F12,F12,13978,16910,0.17338852749852157,Normal
F13,F13,12893,16985,0.24091845746246687,Normal
F10,F10,13222,16773,0.21170929469981517,Normal
F11,F11,13320,16943,0.2138346219677743,Normal
F16,F16,13889,16890,0.17767910005920662,Normal
F17,F17,13466,16539,0.18580325291734687,Normal
F14,F14,12768,16763,0.23832249597327448,Normal
F15,F15,11997,16787,0.2853398463096444,Normal
