IID,PC1,PC2,Cluster,Accession_Bank_ID,Local_Names,Collection_Country
F1,0.0566789,-0.256949,1,1543,hassawy_3,Saudi-Arabia
F2,0.615388,0.180479,2,1544,Misr_3,Egypt
F3,0.0348055,-0.134383,4,1545,L53_D,Saudi-Arabia
F4,0.636689,0.170023,2,1546,hassawy1,Saudi-Arabia
F5,-0.191324,0.225065,6,1547,luz_x_G716,Saudi-Arabia
F6,-0.135803,0.299178,0,1548,ksu_9-13,Saudi-Arabia
F7,-0.106162,0.0661803,7,1549,ksu_11-13,Saudi-Arabia
F8,-0.177295,0.268724,0,1550,ksu_8-13,Saudi-Arabia
F9,-0.12878,0.232798,6,1551,ksu_16-13,Saudi-Arabia
F23,-0.00230377,0.00173724,3,1562,Giza-Blanka ,Egypt
F22,0.0439863,-0.125054,4,1561,PBA,Australia
F18,-0.0208938,-0.282559,1,1557,jazira-2,Sudan
F20,0.0431365,-0.23529,1,823,823,
F12,-0.124239,-0.239723,5,1559,TW-3,Saudi-Arabia
F13,-0.121617,-0.259631,5,1560,TW-4,Saudi-Arabia
F10,-0.0456517,0.0917055,7,1552,sakha-1_x_luz,Saudi-Arabia
F11,-0.210246,0.343985,0,1558,L56-DP,Saudi-Arabia
F16,-0.0298903,-0.168699,4,1555,Firod,Australia
F17,-0.032581,-0.339422,1,1556,gazira-1,Sudan
F14,0.038417,-0.0313039,3,1553,sakha-2,Egypt
F15,-0.113944,0.19076,6,1554,luz ,Spain
