IID,PC1,PC2,Accession Bank ID,Local Names,Collection Country,PC1_Variance,PC2_Variance
F1,0.0566789,-0.256949,1543,hassawy_3,Saudi-Arabia,13.338410625133749,11.629111759742745
F2,0.615388,0.180479,1544,Misr_3,Egypt,13.338410625133749,11.629111759742745
F3,0.0348055,-0.134383,1545,L53_D,Saudi-Arabia,13.338410625133749,11.629111759742745
F4,0.636689,0.170023,1546,hassawy1,Saudi-Arabia,13.338410625133749,11.629111759742745
F5,-0.191324,0.225065,1547,luz_x_G716,Saudi-Arabia,13.338410625133749,11.629111759742745
F6,-0.135803,0.299178,1548,ksu_9-13,Saudi-Arabia,13.338410625133749,11.629111759742745
F7,-0.106162,0.0661803,1549,ksu_11-13,Saudi-Arabia,13.338410625133749,11.629111759742745
F8,-0.177295,0.268724,1550,ksu_8-13,Saudi-Arabia,13.338410625133749,11.629111759742745
F9,-0.12878,0.232798,1551,ksu_16-13,Saudi-Arabia,13.338410625133749,11.629111759742745
F23,-0.00230377,0.00173724,1562,Giza-Blanka ,Egypt,13.338410625133749,11.629111759742745
F22,0.0439863,-0.125054,1561,PBA,Australia,13.338410625133749,11.629111759742745
F18,-0.0208938,-0.282559,1557,jazira-2,Sudan,13.338410625133749,11.629111759742745
F20,0.0431365,-0.23529,823,823,,13.338410625133749,11.629111759742745
F12,-0.124239,-0.239723,1559,TW-3,Saudi-Arabia,13.338410625133749,11.629111759742745
F13,-0.121617,-0.259631,1560,TW-4,Saudi-Arabia,13.338410625133749,11.629111759742745
F10,-0.0456517,0.0917055,1552,sakha-1_x_luz,Saudi-Arabia,13.338410625133749,11.629111759742745
F11,-0.210246,0.343985,1558,L56-DP,Saudi-Arabia,13.338410625133749,11.629111759742745
F16,-0.0298903,-0.168699,1555,Firod,Australia,13.338410625133749,11.629111759742745
F17,-0.032581,-0.339422,1556,gazira-1,Sudan,13.338410625133749,11.629111759742745
F14,0.038417,-0.0313039,1553,sakha-2,Egypt,13.338410625133749,11.629111759742745
F15,-0.113944,0.19076,1554,luz ,Spain,13.338410625133749,11.629111759742745
