PC,Eigenvalue,Variance_Explained,Cumulative_Variance
PC1,1.85121,13.338410625133749,13.338410625133749
PC2,1.61398,11.629111759742745,24.967522384876496
PC3,1.5413,11.105434983885482,36.072957368761976
PC4,1.42401,10.260332492962283,46.33328986172426
PC5,1.33588,9.62533477342045,55.95862463514471
PC6,1.3012,9.375457082353723,65.33408171749844
PC7,1.26706,9.129470220386649,74.46355193788509
PC8,1.20885,8.710053253921993,83.17360519180708
PC9,1.17594,8.472928836015244,91.64653402782233
PC10,1.15936,8.35346597217769,100.00000000000001
